この目次は別シートからのコピーです！					
編集・追加の際は元シートのご参照をどうぞ					
https://docs.google.com/spreadsheets/d/1uOPWwFZ4UQ51bAklqYyXxSA1Nj8O4Rx70xH0sYqGYl4/edit?usp=sharing					
					
					
					
一人でも自テーマ使いが増えたらいいよね！！！！！				↓最終更新日時（自動更新バグ直しました）ここの日付のセルを自分のプレゼンでセル参照してやればお手軽に更新日書いとけるよ	
					
	↓この列へのリンク反映は1日ぐらい時間差があります			1週間以内に\n更新されたシート	↓(更新した人が任意で記入してくれると読者が増える……かもしれない)
じぇねれいど	じぇねれいど				作ったけど流石に解説が新規実装後のに追いつけていないなあって思ったので該当タブを自前のスプシに保管後削除しました(2023/7/18)　誰か作って♡
シャーク	シャーク				
シャドール	シャドール			2023/06/19	
出張	出張			2023/01/20	
十二獣	十二獣				
呪眼	呪眼			2023/04/29	マスター1到達記念に新規後で更新したわよ眷属ぅ！！　質問きてたのきづかなかったごめんね
しょうもな（先攻ワンキル）	しょうもな（先攻ワンキル）			2023/03/08	べエルゼループを新制限適用ルートに変更
植物族 (六花アロマ聖天樹)	植物族 (六花アロマ聖天樹)			2023/10/27	デッキ貼ったりひとこと書いたり、アウトプット力を鍛えたいです
植物族 × セリオンズ	植物族 × セリオンズ			2023/11/12	
シンクロン	#ERROR!			#N/A	未実装カードについて触れていきます。この辺は本当に加筆大募集
真竜（命削りの宝札採用型）	真竜（命削りの宝札採用型）			2023/12/06	
spyral	spyral			2023/04/03	結構環境で見るようになったので誘発のあて方とか記載
スケアクロー	スケアクロー			2023/10/19	やっと新規来た
SR(スピードロイド)	SR(スピードロイド)				
スプリガンズ	スプリガンズ			2023/06/08	6/8 新規実装で構築が変化するので更新停止
スプリガンズ (PHHY以降)	スプリガンズ (PHHY以降)			2023/06/17	7/23　出力先6パターンに関して展開動画を掲載しました
聖刻（記載中）	聖刻（記載中）			2023/04/02	作成中
S-Force（セキュリティフォース）	S-Force（セキュリティフォース）			2023/12/09	11/12　ナイトチェイサーに関して追加。デッキレシピ更新
セフィラ	セフィラ			2023/06/01	11/26 気になったことがあったんで質問に追加
戦華	戦華				8/31　プレゼン製作中
占術姫	占術姫			2023/10/11	10/24　DC20まで行けたドラグマ占術姫を若干改稿
閃刀姫	閃刀姫			2022/11/22	
閃刀姫_2	閃刀姫_2			2023/03/28	スプライト環境でのレイちゃんの現在を追記しました。
絶望タワー（仮）	絶望タワー（仮）			2022/10/11	
					
代行スプライト	代行スプライト			2023/05/25	一応とりあえずこれで完成。
